Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
ayyyy	Spn	O	3.63	7.0	-2.38	4.62
🥺	Punct	O	N/A	N/A	N/A	N/A
🥺	Punct	O	N/A	N/A	N/A	N/A
🥺	Punct	O	N/A	N/A	N/A	N/A
🥺	Punct	O	N/A	N/A	N/A	N/A
@	Punct	O	N/A	N/A	N/A	N/A
andreatik004	Spn	O	1.74	0.26	-1.01	-0.75
ayyy	Spn	O	5.24	8.61	-1.01	7.6
🥺	Punct	O	N/A	N/A	N/A	N/A
English	Eng	O	35.81	18.35	-2.38	33.43
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
Novio	Spn	O	19.06	42.63	-2.38	40.25
…	Punct	O	N/A	N/A	N/A	N/A
my	Eng	O	41.2	20.91	-2.38	38.82
first	Eng	O	52.19	16.64	-0.8	51.39
language	Eng	O	47.03	20.35	-0.8	46.230000000000004
is	Eng	O	44.66	21.08	-0.8	43.86
English	Eng	O/OTROS	35.81	18.35	-0.8	35.010000000000005
and	Eng	O	58.08	26.56	-0.8	57.28
I	Eng	O/OTROS	42.31	11.38	-0.8	41.510000000000005
make	Eng	O/OTROS	50.59	18.5	-0.8	49.790000000000006
mistakes	Eng	O/OTROS	51.2	30.13	-0.8	50.400000000000006
like	Eng	O/OTROS	57.49	21.32	-0.8	56.690000000000005
that	Eng	O/OTROS	68.72	14.42	-0.8	67.92
sometimes	Eng	O	76.43	35.42	-0.8	75.63000000000001
too	Eng	O	46.65	16.45	-0.8	45.85
.	Punct	O	N/A	N/A	N/A	N/A
adorable	Spn	O	37.5	43.71	-2.38	41.33
🥰	Punct	O	N/A	N/A	N/A	N/A
🥰	Punct	O	N/A	N/A	N/A	N/A
🥰	Punct	O	N/A	N/A	N/A	N/A
This	Eng	O/ORG	59.86	22.07	-2.38	57.48
is	Eng	O	44.66	21.08	-0.8	43.86
so	Eng	O	43.57	28.06	-0.8	42.77
adorable	Spn	O	37.5	43.71	-2.38	41.33
@	Punct	O	N/A	N/A	N/A	N/A
hellomylovee	Eng	O	21.49	5.59	-2.38	19.11
@	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
minikurxt	Eng	O	19.39	6.53	-0.8	18.59
awwww	Eng	O	8.63	-0.56	-0.8	7.830000000000001
💖	Punct	O	N/A	N/A	N/A	N/A
awwww	Eng	O	8.63	-0.56	-0.8	7.830000000000001
AAAAWWW	Eng	O/ORG	-0.56	-1.74	-0.8	-1.36
😳	Punct	O	N/A	N/A	N/A	N/A
nap	Eng	O/ORG	19.29	7.15	-0.8	18.49
En	Spn	O	25.45	42.54	-2.38	40.16
.	Punct	O	N/A	N/A	N/A	N/A
gl	Eng	O	11.54	8.05	-2.38	9.16
.	Punct	O	N/A	N/A	N/A	N/A
ishhhhh	Eng	O	9.32	0.39	-0.8	8.52
u	Eng	O	15.23	13.34	-0.8	14.43
understand	Eng	O	71.53	17.59	-0.8	70.73
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
no	Spn	O	39.04	44.89	-2.38	42.51
So	Eng	O	43.57	28.06	-2.38	41.19
creative	Eng	O	52.29	32.66	-0.8	51.49
nooo	Eng	O	21.63	20.07	-0.8	20.83
@	Punct	O	N/A	N/A	N/A	N/A
yyoongz	Spn	O	-5.62	-3.88	-2.38	-6.26
TELL	Eng	O	49.1	23.35	-2.38	46.72
ME	Eng	O	41.15	43.0	-0.8	40.35
WHY	Eng	O/ORG	41.66	5.84	-0.8	40.86
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
FIND	Eng	O/ORG	48.68	16.97	-0.8	47.88
HIM	Eng	O/ORG	39.42	13.41	-0.8	38.620000000000005
DO	Eng	O	42.25	32.38	-0.8	41.45
ADORABLE	Spn	O/OTROS	37.5	43.71	-2.38	41.33
LIKE	Eng	O/OTROS	57.49	21.32	-2.38	55.11
That	Eng	O/OTROS	68.72	14.42	-0.8	67.92
'	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
big	Eng	O/ORG	38.79	10.98	-0.8	37.99
one	Eng	O/ORG	49.51	25.47	-0.8	48.71
ok	Eng	O	20.48	9.02	-0.8	19.68
@	Punct	O	N/A	N/A	N/A	N/A
vkatff	Eng	O	6.89	-0.99	-0.8	6.09
😂	Punct	O	N/A	N/A	N/A	N/A
@	Punct	O	N/A	N/A	N/A	N/A
wheeindarketa	Eng	O	20.44	4.93	-0.8	19.64
@	Punct	O	N/A	N/A	N/A	N/A
______darwin__bdkwnsjsk	Eng	O	-29.38	-38.49	-0.8	-30.18
uwu	Eng	O	5.78	2.36	-0.8	4.98
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😁	Punct	O	N/A	N/A	N/A	N/A
🥺	Punct	O	N/A	N/A	N/A	N/A
this	Eng	O	59.86	22.07	-0.8	59.06
is	Eng	O	44.66	21.08	-0.8	43.86
pure	Eng	O/ORG	39.71	32.6	-0.8	38.910000000000004
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
'	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
great	Eng	O	52.71	11.67	-0.8	51.910000000000004
hello	Eng	O	35.52	32.2	-0.8	34.720000000000006
where	Eng	O	64.55	18.09	-0.8	63.75
is	Eng	O	44.66	21.08	-0.8	43.86
your	Eng	O	56.33	24.2	-0.8	55.53
boyfriend	Eng	O	52.35	16.64	-0.8	51.550000000000004
from	Eng	O	48.14	12.52	-0.8	47.34
😁	Punct	O	N/A	N/A	N/A	N/A
BSNWÑDKBW	Eng	O	-4.04	-11.34	-0.8	-4.84
@	Punct	O	N/A	N/A	N/A	N/A
dogave	Eng	O	39.53	21.55	-0.8	38.730000000000004
🥺	Punct	O	N/A	N/A	N/A	N/A
Oooo	Eng	O	15.59	9.02	-0.8	14.79
😏	Punct	O	N/A	N/A	N/A	N/A
😏	Punct	O	N/A	N/A	N/A	N/A
😏	Punct	O	N/A	N/A	N/A	N/A
awwww	Eng	O	8.63	-0.56	-0.8	7.830000000000001
🥰	Punct	O	N/A	N/A	N/A	N/A
Don	Eng	O	50.13	38.08	-0.8	49.330000000000005
'	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O/ORG	40.21	10.87	-0.8	39.410000000000004
blame	Eng	O/ORG	40.74	32.27	-0.8	39.940000000000005
the	Eng	O/ORG	60.83	27.05	-0.8	60.03
kids	Eng	O/ORG	46.98	8.94	-0.8	46.18
blame	Eng	O/ORG	40.74	32.27	-0.8	39.940000000000005
the	Eng	O/ORG	60.83	27.05	-0.8	60.03
parents	Eng	O/ORG	56.12	30.91	-0.8	55.32
for	Eng	O/ORG	47.94	28.79	-0.8	47.14
not	Eng	O/ORG	48.64	20.26	-0.8	47.84
teaching	Eng	O/ORG	66.42	19.31	-0.8	65.62
them	Eng	O/ORG	58.74	12.49	-0.8	57.940000000000005
.	Punct	O	N/A	N/A	N/A	N/A
The	Eng	O	60.83	27.05	-0.8	60.03
dog	Eng	O	34.89	10.21	-0.8	34.09
“	Punct	O	N/A	N/A	N/A	N/A
BaWoAw	Eng	O	14.31	1.19	-0.8	13.51
”	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O/OTROS	42.31	11.38	-0.8	41.510000000000005
feel	Eng	O/OTROS	42.65	17.76	-0.8	41.85
like	Eng	O	57.49	21.32	-0.8	56.690000000000005
no	Spn	O	39.04	44.89	-2.38	42.51
Sabo	Spn	PERSON/PERS	16.37	33.68	-1.01	32.67
should	Eng	O	60.82	10.2	-2.38	58.44
only	Eng	O	49.65	9.4	-0.8	48.85
apply	Eng	O	38.74	13.07	-0.8	37.940000000000005
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
the	Eng	O	60.83	27.05	-0.8	60.03
kids	Eng	O	46.98	8.94	-0.8	46.18
that	Eng	O	68.72	14.42	-0.8	67.92
try	Eng	O	43.92	17.78	-0.8	43.120000000000005
really	Eng	O	69.21	24.1	-0.8	68.41
hard	Eng	O	46.48	24.73	-0.8	45.68
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
act	Eng	O/ORG	36.97	13.84	-0.8	36.17
mexican	Spn	O/ORG	37.7	44.86	-2.38	42.48
but	Eng	O/ORG	51.93	13.76	-2.38	49.55
can	Eng	O	46.96	33.02	-0.8	46.160000000000004
'	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O/ORG	40.21	10.87	-0.8	39.410000000000004
speak	Eng	O/ORG	38.44	9.07	-0.8	37.64
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
.	Punct	O	N/A	N/A	N/A	N/A
!	Punct	O	N/A	N/A	N/A	N/A
!	Punct	O	N/A	N/A	N/A	N/A
most	Eng	O	49.19	17.5	-0.8	48.39
edgers	Eng	O	36.1	14.08	-0.8	35.300000000000004
😂	Punct	O	N/A	N/A	N/A	N/A
!	Punct	O	N/A	N/A	N/A	N/A
!	Punct	O	N/A	N/A	N/A	N/A
Sad	Eng	O/ORG	35.91	19.12	-0.8	35.11
fact	Eng	O/ORG	43.24	11.46	-0.8	42.440000000000005
:	Punct	O	N/A	N/A	N/A	N/A
some	Eng	O	56.66	33.61	-0.8	55.86
immigrants	Eng	O	50.91	8.9	-0.8	50.11
felt	Eng	O	37.47	9.63	-0.8	36.67
that	Eng	O	68.72	14.42	-0.8	67.92
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
assimilate	Eng	O	41.69	27.54	-0.8	40.89
was	Eng	O	51.72	16.52	-0.8	50.92
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
forget	Eng	O	51.27	10.25	-0.8	50.470000000000006
their	Eng	O	61.66	20.15	-0.8	60.86
customs	Eng	O	32.67	18.15	-0.8	31.87
.	Punct	O	N/A	N/A	N/A	N/A
Chicanos	Spn	O	22.48	51.89	-2.38	49.51
were	Eng	O	57.76	17.06	-2.38	55.379999999999995
forced	Eng	O	49.18	19.2	-0.8	48.38
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
forget	Eng	O	51.27	10.25	-0.8	50.470000000000006
their	Eng	O	61.66	20.15	-0.8	60.86
language	Eng	O	47.03	20.35	-0.8	46.230000000000004
before	Eng	O	59.48	17.29	-0.8	58.68
1968	Num	O	N/A	N/A	N/A	N/A
Sad	Eng	O/ORG	35.91	19.12	-0.8	35.11
fact	Eng	O/ORG	43.24	11.46	-0.8	42.440000000000005
:	Punct	O	N/A	N/A	N/A	N/A
some	Eng	O	56.66	33.61	-0.8	55.86
immigrants	Eng	O	50.91	8.9	-0.8	50.11
felt	Eng	O	37.47	9.63	-0.8	36.67
that	Eng	O	68.72	14.42	-0.8	67.92
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
assimilate	Eng	O	41.69	27.54	-0.8	40.89
was	Eng	O	51.72	16.52	-0.8	50.92
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
forget	Eng	O	51.27	10.25	-0.8	50.470000000000006
their	Eng	O	61.66	20.15	-0.8	60.86
customs	Eng	O	32.67	18.15	-0.8	31.87
.	Punct	O	N/A	N/A	N/A	N/A
Chicanos	Spn	O	22.48	51.89	-2.38	49.51
were	Eng	O	57.76	17.06	-2.38	55.379999999999995
forced	Eng	O	49.18	19.2	-0.8	48.38
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
forget	Eng	O	51.27	10.25	-0.8	50.470000000000006
their	Eng	O	61.66	20.15	-0.8	60.86
language	Eng	O	47.03	20.35	-0.8	46.230000000000004
before	Eng	O	59.48	17.29	-0.8	58.68
1968	Num	O	N/A	N/A	N/A	N/A
no	Spn	O	39.04	44.89	-2.38	42.51
sabo	Spn	O	16.37	33.68	-1.01	32.67
kids	Eng	O/ORG	46.98	8.94	-2.38	44.599999999999994
just	Eng	O/ORG	56.89	16.33	-0.8	56.09
take	Eng	O/ORG	52.22	21.69	-0.8	51.42
the	Eng	O/ORG	60.83	27.05	-0.8	60.03
word	Eng	O/ORG	43.09	7.0	-0.8	42.290000000000006
imagine	Eng	O	52.86	39.27	-0.8	52.06
it	Eng	O	50.11	11.76	-0.8	49.31
in	Eng	O	45.41	25.29	-0.8	44.61
english	Eng	O	35.81	18.35	-0.8	35.010000000000005
and	Eng	O	58.08	26.56	-0.8	57.28
add	Eng	O	27.86	9.98	-0.8	27.06
spanish	Eng	O	39.06	8.16	-0.8	38.260000000000005
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
💀	Punct	O	N/A	N/A	N/A	N/A
Why	Eng	O/ORG	41.66	5.84	-0.8	40.86
Latino	Spn	O/ORG	26.42	40.08	-2.38	37.699999999999996
like	Eng	O/ORG	57.49	21.32	-2.38	55.11
to	Eng	O/ORG	48.13	29.93	-0.8	47.330000000000005
make	Eng	O/ORG	50.59	18.5	-0.8	49.790000000000006
fun	Eng	O/ORG	36.4	23.58	-0.8	35.6
of	Eng	O/ORG	45.37	12.91	-0.8	44.57
other	Eng	O/ORG	57.25	23.13	-0.8	56.45
Latino	Spn	O/ORG	26.42	40.08	-2.38	37.699999999999996
for	Eng	O/ORG	47.94	28.79	-2.38	45.559999999999995
not	Eng	O/ORG	48.64	20.26	-0.8	47.84
speaking	Eng	O/ORG	60.78	9.45	-0.8	59.980000000000004
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
?	Punct	O	N/A	N/A	N/A	N/A
🤔	Punct	O	N/A	N/A	N/A	N/A
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
just	Eng	O/ORG	56.89	16.33	-0.8	56.09
realized	Eng	O/ORG	60.66	27.32	-0.8	59.86
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
’	Punct	O	N/A	N/A	N/A	N/A
