Token	Tag
ayyyy	Spn
🥺	Punct
🥺	Punct
🥺	Punct
🥺	Punct
@	Punct
andreatik004	Spn
ayyy	Spn
🥺	Punct
English	Eng
😂	Punct
😂	Punct
😂	Punct
Novio	Spn
…	Punct
my	Eng
first	Eng
language	Eng
is	Eng
English	Eng
and	Eng
I	Eng
make	Eng
mistakes	Eng
like	Eng
that	Eng
sometimes	Eng
too	Eng
.	Punct
adorable	Spn
🥰	Punct
🥰	Punct
🥰	Punct
This	Eng
is	Eng
so	Eng
adorable	Spn
@	Punct
hellomylovee	Eng
@	Punct
.	Punct
minikurxt	Eng
awwww	Eng
💖	Punct
awwww	Eng
AAAAWWW	Eng
😳	Punct
nap	Eng
En	Spn
.	Punct
gl	Eng
.	Punct
ishhhhh	Eng
u	Eng
understand	Eng
😂	Punct
😂	Punct
no	Spn
So	Eng
creative	Eng
nooo	Eng
@	Punct
yyoongz	Spn
TELL	Eng
ME	Eng
WHY	Eng
I	Eng
FIND	Eng
HIM	Eng
DO	Eng
ADORABLE	Spn
LIKE	Eng
That	Eng
'	Punct
s	Eng
a	Eng
big	Eng
one	Eng
ok	Eng
@	Punct
vkatff	Eng
😂	Punct
@	Punct
wheeindarketa	Eng
@	Punct
______darwin__bdkwnsjsk	Eng
uwu	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😁	Punct
🥺	Punct
this	Eng
is	Eng
pure	Eng
it	Eng
'	Punct
s	Eng
great	Eng
hello	Eng
where	Eng
is	Eng
your	Eng
boyfriend	Eng
from	Eng
😁	Punct
BSNWÑDKBW	Eng
@	Punct
dogave	Eng
🥺	Punct
Oooo	Eng
😏	Punct
😏	Punct
😏	Punct
awwww	Eng
🥰	Punct
Don	Eng
'	Punct
t	Eng
blame	Eng
the	Eng
kids	Eng
blame	Eng
the	Eng
parents	Eng
for	Eng
not	Eng
teaching	Eng
them	Eng
.	Punct
The	Eng
dog	Eng
“	Punct
BaWoAw	Eng
”	Punct
😂	Punct
😂	Punct
I	Eng
feel	Eng
like	Eng
no	Spn
Sabo	Spn
should	Eng
only	Eng
apply	Eng
to	Eng
the	Eng
kids	Eng
that	Eng
try	Eng
really	Eng
hard	Eng
to	Eng
act	Eng
mexican	Spn
but	Eng
can	Eng
'	Punct
t	Eng
speak	Eng
Spanish	Eng
.	Punct
!	Punct
!	Punct
most	Eng
edgers	Eng
😂	Punct
!	Punct
!	Punct
Sad	Eng
fact	Eng
:	Punct
some	Eng
immigrants	Eng
felt	Eng
that	Eng
to	Eng
assimilate	Eng
was	Eng
to	Eng
forget	Eng
their	Eng
customs	Eng
.	Punct
Chicanos	Spn
were	Eng
forced	Eng
to	Eng
forget	Eng
their	Eng
